Point d'echantillonnage,Nom,Localisation,Administration,Latitude,Longitude,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
IBIZ-1,Pont de l'ele Mercier,"L'Ile-Bizard / Sainte-Genevieve, Ile Bizard, 250m au sud-est de l'intersection du ch. Cherrier et de la rue Louis-Roch, sur le pont de l' ele Mercier.",L'Ile-Bizard-Sainte-Genevieve,"45,4837903904","-73,8782039134",1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
IBIZ-1.5,Rue Charron,"L'Ile-Bizard / Sainte-Genevieve, Ile Bizard, 60m au sud-est de la rue Dollard.",L'Ile-Bizard-Sainte-Genevieve,"45,4861261857","-73,8750829112",0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
IBIZ-10.5,Pointe des Carrieres (plage),"L'Ile-Bizard / Sainte-Genevieve, Ile Bizard, Parc-nature du Boise-de-l'Ile-Bizard, plage de la Pointe-aux-Carrieres, rive aæ l'ouest du fosse.",L'Ile-Bizard-Sainte-Genevieve,"45,5159655427","-73,9011306153",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
IBIZ-11,rue Roussin,"L'Ile-Bizard / Sainte-Genevieve, Ile Bizard, 25m aæ l'ouest de la rue Roussin, en amont du Parc-nature du Boise-de-l'Ile-Bizard.",L'Ile-Bizard-Sainte-Genevieve,"45,5139069748","-73,9020847716",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IBIZ-11.5,Parc Terrasse- Martin,aæ la hauteur de la rue Terrasse Martin et ch.Bord du lac,L'Ile-Bizard-Sainte-Genevieve,"45,5077732621","-73,9097835493",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IBIZ-12,0,"L'Ile-Bizard / Sainte-Genevieve, Ile Bizard, extremite de l'av. Theoret.",L'Ile-Bizard-Sainte-Genevieve,"45,5039148621","-73,9126198523",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBIZ-13,Extremite de la rue Roger,"aæ l'extremite de la rue Roger, pres de l'intersection avec Montee Wilson.",L'Ile-Bizard-Sainte-Genevieve,"45,47690651","-73,9271250628",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IBIZ-13.5,Pointe TheoraÈt (plage),"L'Ile-Bizard / Sainte-Genevieve, Ile Bizard, Parc-nature du Cap-St-Jacques, cote sud-ouest de la Pointe Theoret, sur la plage.",L'Ile-Bizard-Sainte-Genevieve,"45,4686170828","-73,9025625281",0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0
IBIZ-14,P-N Cap-St-Jacques,"Parc-Nature du Cap-Saint-Jacques (Pointe TheoraÈt, cote est)",L'Ile-Bizard-Sainte-Genevieve,"45,4698043279","-73,8994354614",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IBIZ-15,Parc Terrasse-Sacre-Coeur,"Parc Terrasse-Sacre-Coeur, aæ la hauteur des rues Terrasse Sacre-coeur et Paquin",L'Ile-Bizard-Sainte-Genevieve,"45,4805034075","-73,8795900059",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IBIZ-16,Ile Mercier,"L'Ile-Bizard / Sainte-Genevieve, Ile Mercier, 175m aæ l'est de l'intersection de la rue Louis-Roch et du boul. Mercier.",L'Ile-Bizard-Sainte-Genevieve,"45,4844877754","-73,8747529632",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
IBIZ-2,Parc Denis-Benjamin-Viger,"Parc Denis-Benjamin-Viger, aæ la hauteur de la rue St-Pierre et ch.Cherrier",L'Ile-Bizard-Sainte-Genevieve,"45,488861923","-73,8681673845",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IBIZ-3,Place Maxime,"L'Ile-Bizard / Sainte-Genevieve, Ile Bizard, 60m aæ l'est de l'extremite de pl. Maxime.",L'Ile-Bizard-Sainte-Genevieve,"45,4910720452","-73,8643587323",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
IBIZ-4,En bordure du ch. Cherrier,aó la hauteur des rues emile et Cherrier,L'Ile-Bizard-Sainte-Genevieve,"45,5036151389","-73,8613908632",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IBIZ-5,Rue des Cedres,"L'Ile-Bizard / Sainte-Genevieve, Ile Bizard, 50m au sud-est de la jonction des ch. Cherrier et Dutour.",L'Ile-Bizard-Sainte-Genevieve,"45,509171354","-73,8578588172",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
